ChamberTyp,CoverLevel,InvertDept,NodeRefere,NodeType,SewerUsage,InfCovLev,xcoord,ycoord,zcoord
MH,,"1260",NZ42484205,CH,C,"63950",442404,548281,63.6594375
MH,,,NZ42483218,CH,C,"63430",442350,548283,62.5470416666667
MH,,"630",NZ42483215,CH,C,"63260",442339,548285,62.2917291666667
Null,,,NZ42483228,J,C,"63860",442355.38,548291.998,62.6996938750002
MH,,,NZ42483219,CH,C,"63900",442353,548295,62.6533125
MH,,"590",NZ42483217,CH,C,"63610",442342,548296,62.4048958333333
MH,,,NZ42482208,CH,C,"62420",442292.352,548299.673,61.2323657708335
Null,,,NZ42483317,J,C,"64330",442360.994,548310.924,62.8724918750001
MH,,"1020",NZ42483311,CH,C,"62600",442308.032,548313.912,61.6607453333335
MH,,,NZ42483304,CH,C,"64140",442358,548314,62.8124375
MH,,"630",NZ42483303,CH,C,"63740",442345.642,548314.235,62.5341829374998
MH,,,NZ42483301,CH,C,"64269.99999999999",442362.5,548316,62.91884375
MH,,,NZ42482304,CH,C,"62490",442295,548317,61.3609791666667
Null,,,NZ42483315,CE,C,"62630",442308.83,548322.933,61.7138308958336
MH,,"1460",NZ42482305,CH,C,"62520",442295.914,548330.911,61.435276020833
MH,,,NZ42482307,CH,C,"62520",442298,548337,61.5080833333333
MH,,,NZ42483704,CH,S,"51140",442378.412,548714.893,52.6428027857151
MH,,,NZ42482703,CH,C,"53730",442216.309,548724.11,53.8207857500007
MH,,,NZ42483702,CH,C,"51370",442391.5,548725.5,52.8064285714286
MH,,,NZ42485707,CH,C,"52120",442532.39,548739.37,53.6891690395476
MH,,,NZ42484701,CH,C,"54290",442448.5,548763,53.5621924198251
MH,,"6600",NZ42482702,CH,S,"52940",442281,548769,54.2013958333333
MH,,,NZ42482705,CH,C,"52980",442279.633,548772.336,54.1904361041663
MH,,"7600",NZ42485701,CH,C,"54350",442518,548798.5,53.0298871989861
MH,,,NZ42482802,CH,S,"53710",442206.5,548803,50.71734375
MH,,"13550",NZ42482803,CH,C,"53650",442218.642,548810.89,51.7567309999994
MH,,,NZ42483902,CH,C,"53210",442363.071,548915.058,53.0779365156262
Null,,,NZ42483903,ZZZ,C,"54930",442324,548920.5,52.7945703125
MH,,,NZ42483901,CH,C,"52920",442368.329,548922.092,52.8693673906268
MH,,,NZ42484901,CH,C,"51710",442400.062,548936.684,52.0420236619722
MH,,,NZ42485902,CH,C,"47830",442539.04,548945.421,48.5254444824119
MH,,,NZ42485903,CH,C,"47030",442530.632,548970.855,47.9744645829156
MH,,,NZ42482902,CH,C,"51370",442258.754,548977.493,50.9084016749995
MH,,,NZ42484902,CH,C,"48120",442490.921,548985.941,48.5539647135688
MH,,,NZ42482901,CH,C,"52860",442288.907,548991.528,50.5269109708318
MH,,,NZ42495001,CH,C,"45000",442544.924,549007.419,46.4938593567841
MH,,,NZ42493001,CH,C,"50000",442358.67,549025.008,49.613566224999
MH,,,NZ42495002,CH,C,"45530",442514.039,549028.979,46.6468895577877
MH,,,NZ42495010,CH,C,"44460",442535.168,549029.232,46.0877483015086
MH,,,NZ42492001,CH,C,"50190",442266.275,549040.611,49.1159997777771
MH,,,NZ42495009,CH,C,"44220",442528.885,549040.848,45.8998721909546
MH,,,NZ42494004,CH,C,"46160",442418.845,549055.679,48.01792928889
MH,,,NZ42494001,CH,C,"46190",442423.917,549056.092,47.7822828912708
