DateLaid,Material,Diameter,NetworkFun,ReviewAge,ReviewDiam,ReviewMate,ID,length,straightdis,sinuosity
,UNKNOWN,UNKNOWN,PRIVATE,,,,WTE-MN1314579,4.54116383760341,4.54116383760341,1
,UNKNOWN,UNKNOWN,PRIVATE,,,,WTE-MN1314576,4.451474474853,4.451474474853,1
31-08-2011,UNKNOWN,UNKNOWN,DISTRIBUTION,"2011","50",MDPE,WTE-MN1314578,10.3978740615833,10.3978740615833,1
01-01-1993,UPVC,"100",DISTRIBUTION,"1993","100",UPVC,WTE-MN1314556,57.5720734471465,57.5720734471465,1
31-08-2011,UNKNOWN,UNKNOWN,DISTRIBUTION,"2011","50",MDPE,WTE-MN1314575,10.4152344668567,10.4152344668567,1
,UNKNOWN,UNKNOWN,PRIVATE,,,,WTE-MN1314539,7.32562966575119,7.32562966575119,1
01-01-1993,UPVC,"100",DISTRIBUTION,"1993","100",UPVC,WTE-MN1314558,19.3548708373719,19.3548708339566,1.00000000017646
31-08-2011,UNKNOWN,UNKNOWN,DISTRIBUTION,"2011","90",HPPE,WTE-MN1314538,7.14079218291385,7.14079218291385,1
01-01-1993,UPVC,"100",DISTRIBUTION,"1993","100",UPVC,WTE-MN1314553,4.4675860372604,4.4675860372604,1
01-01-1993,UPVC,"100",DISTRIBUTION,"1993","100",UPVC,WTE-438200,3.09820544826927,3.09820544826927,1
,UNKNOWN,UNKNOWN,PRIVATE,,,,WTE-MN1314549,1.8583029893072,1.8583029893072,1
01-01-1993,UPVC,"100",DISTRIBUTION,"1993","100",UPVC,WTE-438202,2.50053954187078,2.50053954187078,1
01-01-1993,UPVC,"100",DISTRIBUTION,"1993","100",UPVC,WTE-MN1314535,52.9040605719231,52.9040605719231,1
01-01-1993,UPVC,"100",DISTRIBUTION,"1993","100",UPVC,WTE-MN1314586,34.9092782228594,34.8966272581926,1.00036252685892
,UNKNOWN,UNKNOWN,PRIVATE,,,,WTE-MN1314520,42.8401928827903,27.9017672917159,1.53539352668566
31-08-2011,UNKNOWN,UNKNOWN,DISTRIBUTION,"2011","90",HPPE,WTE-MN1314548,3.46444122475808,3.46444122475808,1
31-08-2011,UNKNOWN,UNKNOWN,DISTRIBUTION,"2011","90",HPPE,WTE-MN1314531,3.44499230765184,3.44499230765184,1
31-08-2011,UNKNOWN,UNKNOWN,DISTRIBUTION,"2011","90",HPPE,WTE-MN1314521,3.33791102341841,3.33791102341841,1
01-01-1993,UPVC,"100",DISTRIBUTION,"1993","100",UPVC,WTE-MN1314545,3.18170536028307,3.18170536028307,1
01-01-1993,UPVC,"100",DISTRIBUTION,"1993","100",UPVC,WTE-MN1314546,3.14856935767146,3.14856935767146,1
01-01-1993,UPVC,"100",DISTRIBUTION,"1993","100",UPVC,WTE-MN1314516,1.68027200183904,1.68027200183904,1
01-01-1993,UPVC,"100",DISTRIBUTION,"1993","100",UPVC,WTE-MN1314514,0.409704771758593,0.409704771758593,1
,UPVC,"4""",DISTRIBUTION,"1990","100",UPVC,WTE-606971,2.73398902714623,2.73398902714623,1
,UNKNOWN,UNKNOWN,DISTRIBUTION,"1993","100",UPVC,WTE-MN1314599,7.38800494038399,7.38800494038399,1
01-01-1993,UPVC,"100",DISTRIBUTION,"1993","100",UPVC,WTE-MN1314588,2.75137223114426,2.738986126332,1.00452214952576
,UNKNOWN,UNKNOWN,DISTRIBUTION,"1993","100",UPVC,WTE-MN1314602,7.32401536041424,7.32401536041424,1
01-01-1993,UPVC,"100",DISTRIBUTION,"1993","100",UPVC,WTE-MN1314590,2.12524116277752,2.12524116277752,1
01-01-1991,UPVC,"8""",DISTRIBUTION,"1991","200",UPVC,WTE-606992,2.42228507818104,2.42228507818104,1
01-01-1991,UPVC,"8""",DISTRIBUTION,"1991","200",UPVC,WTE-MN1354660,257.210946421772,257.174264206233,1.00014263563911
01-08-2002,HPPE,"90",DISTRIBUTION,"2002","90",HPPE,WTE-MN1284423,1.36986787685152,1.36986787685152,1
01-08-2002,MDPE,"63",DISTRIBUTION,"2002","63",MDPE,WTE-MN1364718,0.340005882269335,0.340005882269335,1
,UNKNOWN,UNKNOWN,DISTRIBUTION,"2002","63",PE,WTE-MN1364719,13.5962508927636,13.4615043735722,1.01000976677287
01-08-2002,MDPE,"63",DISTRIBUTION,"2002","63",MDPE,WTE-MN581854,121.592669044662,121.572753394873,1.00016381672071
,POL,"0.75""",PRIVATE,,,,WTE-MN1364720,26.3336900946739,26.3336900946739,1
,MDPE,"63",DISTRIBUTION,"2002","63",MDPE,WTE-MN526828,156.040882705976,56.3254490438971,2.77034422902455
,MOPVC,"110",DISTRIBUTION,"1994","110",MOPVC,WTE-MN526826,264.900734790174,168.675542877469,1.5704750687099
,UPVC,"3""",DISTRIBUTION,"1979","75",UPVC,WTE-MN1190703,127.108899697407,127.099841423977,1.00007126895933
,CI,"4""",DISTRIBUTION,"1938","100",CI,WTE-548539,9.75758651953163,9.75125186833165,1.00064962440572
,CI,"4""",DISTRIBUTION,"1938","100",CI,WTE-548522,9.34042424091104,9.34042424091104,1
01-01-1979,UPVC,"8""",DISTRIBUTION,"1979","200",UPVC,WTE-548544,1.86520910353471,1.86520910353471,1
01-01-1979,UPVC,"8""",DISTRIBUTION,"1979","200",UPVC,WTE-287985,19.8650536972206,17.0006630459044,1.16848699627667
01-01-1979,UPVC,"8""",DISTRIBUTION,"1979","200",UPVC,WTE-548546,2.6759615094818,2.6759615094818,1
,CI,"4""",DISTRIBUTION,"1968","100",CI,WTE-548524,1.93155093126446,1.93155093126446,1
,CI,"4""",DISTRIBUTION,"1938","100",CI,WTE-548529,1.9255300569389,1.9255300569389,1
,CI,"4""",DISTRIBUTION,"1938","100",CI,WTE-548527,1.36341409696321,1.36341409696321,1
,CI,"4""",DISTRIBUTION,"1938","100",CI,WTE-548526,3.94456494699362,2.803498706985,1.40701507625655
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-548520,1.65761274124224,1.65761274124224,1
,UPVC,"8""",DISTRIBUTION,"1979","200",UPVC,WTE-MN517405,16.5907673722545,16.5907673722545,1
,MOPVC,"110",DISTRIBUTION,"1994","110",MOPVC,WTE-MN517407,4.23737818913258,4.20805750909688,1.00696774698832
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-MN517399,282.651113907141,276.866678623462,1.02089249350062
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-606977,2.95107183910486,2.95107183910486,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-606989,2.47263179632013,2.47263179632013,1
01-01-1991,UPVC,"4""",DISTRIBUTION,"1991","100",UPVC,WTE-287951,2.36116009624881,2.36116009624881,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-286797,155.314394669864,129.588071256559,1.19852385457896
