UpDepth,DownDepth,DownNode,UpNode,FlowType,Height,Width,Material,ReviewAge,ReviewDiam,ReviewDept,YearLaidBa,SewerUsage,InfCovLev,ID,length,straightdis,sinuosity
,,NZ29426119,NZ29426111,GRV,,,Z,"1935","225","0.70",,C,,STE-S204592,13.0590745843492,13.0590745843492,1
,,NZ29426103,NZ29426122,GRV,"225",,VC,"1935","225","0.90",,C,,STE-S1406073,3.55610981275145,3.55610981275145,1
,,NZ29426113,NZ29426105,GRV,"225",,VC,"1935","225","0.90",,C,,STE-S189679,9.80501203455973,9.80501203455973,1
,,NZ29427401,NZ29427305,GRV,"150",,Z,,,,,F,,STE-S1435880,19.4807100999429,19.4807100999429,1
,,NZ29427305,NZ29427304,GRV,"150",,Z,,,,,F,,STE-S1435879,20.8125952730671,20.8125952730671,1
,,NZ29427304,NZ29427303,GRV,"150",,Z,,,,,F,,STE-S1435878,19.2697911768615,19.2697911768615,1
,,NZ29427309,NZ29427308,GRV,,,Z,,,,,S,,STE-S1435884,3.17094213134781,3.17094213134781,1
,,NZ29427307,NZ29427306,GRV,"100",,Z,,,,,S,,STE-S1435882,6.85624270280832,6.85624270280832,1
,,NZ29427308,NZ29427307,GRV,"100",,Z,,,,,S,,STE-S1435883,6.89519927191592,6.89519927191592,1
,,NZ28420004,NZ28420002,GRV,"150",,Z,,,,01-01-2015,F,,STE-S1420023,11.6701210362455,11.6701210362455,1
,,NZ2842WC01,NZ2842WC03,GRV,"1200",,AQ,,,,01-01-2015,W,,STE-S1406083,89.0051563094995,88.5219450870644,1.00545866024476
,,NZ28425504,NZ28426505,GRV,"225",,HPPE,,,,01-01-2015,C,,STE-S1406082,75.4018313305379,75.4018313305379,1
,,NZ28425512,NZ28425502,GRV,,,Z,"1925","225","1.70",,C,,STE-S187992,44.1072032779336,44.1072032779336,1
,,NZ28425502,NZ28426506,GRV,"225",,CI,"1875","225","1.70",,C,,STE-S1406085,28.2623095482437,28.2623095482437,1
,"1660",NZ28426505,NZ28426501,GRV,"225",,CI,"1875","225","1.70",,C,,STE-S202932,41.852057595747,41.852057595747,1
,,NZ28429611,NZ28429612,GRV,"100",,,,,,,C,,STE-S1410668,108.465044794227,85.2065602932131,1.27296588925755
,,NZ2942P095,NZ2942WC06,GRV,,,Z,,,,,W,,STE-S1436391,11.2728383737544,11.2728383737544,1
,,NZ2942P101,NZ2942P100,GRV,,,Z,,,,,C,,STE-S1436395,5.54976981504199,5.54976981504199,1
,,NZ2942P100,NZ2942P098,GRV,,,Z,,,,,C,,STE-S1436394,6.35344268881346,6.35344268881346,1
,,NZ2942P098,NZ2942P096,GRV,,,Z,,,,,C,,STE-S1436393,13.3209769161872,13.3209769161872,1
,,NZ2942P098,NZ2942P099,GRV,,,Z,,,,,C,,STE-S1436397,1.80630451475886,1.80630451475886,1
,,NZ2942P096,NZ2942P095,GRV,,,Z,,,,,C,,STE-S1436392,10.8191501513687,10.8191501513687,1
,,NZ2942P096,NZ2942P097,GRV,,,Z,,,,,C,,STE-S1436398,2.5159364062329,2.5159364062329,1
